"Title","Authors","Publication date","Journal","Volume","Issue","Pages","Publisher","Description"
"Sparse Attention Regression Network Based Soil Fertility Prediction With Ummaso","RV Rao, U Srinivasulu Reddy","2024/4/16","arXiv preprint arXiv:2404.10274","N/A","N/A","N/A","N/A","The challenge of imbalanced soil nutrient datasets significantly hampers accurate predictions of soil fertility. To tackle this, a new method is suggested in this research, combining Uniform Manifold Approximation and Projection (UMAP) with Least Absolute Shrinkage and Selection Operator (LASSO). The main aim is to counter the impact of uneven data distribution and improve soil fertility models' predictive precision. The model introduced uses Sparse Attention Regression, effectively incorporating pertinent features from the imbalanced dataset. UMAP is utilized initially to reduce data complexity, unveiling hidden structures and important patterns. Following this, LASSO is applied to refine features and enhance the model's interpretability. The experimental outcomes highlight the effectiveness of the UMAP and LASSO hybrid approach. The proposed model achieves outstanding performance metrics, reaching a predictive accuracy of 98%, demonstrating its capability in accurate soil fertility predictions. Additionally, it showcases a Precision of 91.25%, indicating its adeptness in identifying fertile soil instances accurately. The Recall metric stands at 90.90%, emphasizing the model's ability to capture true positive cases effectively."
"Secured Frank Wolfe learning and Dirichlet Gaussian Vicinity based authentication for IoT edge computing","J Sangeethapriya, Michael Arock, U Srinivasulu Reddy","2024/4/4","Peer-to-Peer Networking and Applications","N/A","N/A","1-13","Springer US","With the evolution of the Internet of Things (IoT) several users take part in different applications via sensors. The foremost confront here remains in selecting the most confidential users or sensors in the edge computing system of the IoT. Here, both the end-users and the edge servers are likely to be malicious or compromised sensors. Several works have been contributed to identifying and isolating the malicious end-users or edge servers. Our work concentrates on the security aspects of edge servers of IoT. The Frank-Wolfe Optimal Service Requests (FWOSR) algorithm is utilized to evaluate the boundaries or limits of the logistic regression model, in which the convex problem under a linear approximation is solved for weight sparsity (ie several user requests competing for closest edge server) to avoid over-fitting in the supervised machine learning process. We design a Frank Wolfe Supervised Machine Learning …"
"A new efficient quorum planted (ℓ, d) motif search on ChIP-seq dataset using segmentation to filtration and freezing firefly algorithms","P Theepalakshmi, U Srinivasulu Reddy","2024/2","Soft Computing","28","4","3049-3070","Springer Berlin Heidelberg","A comprehensive understanding of transcription factor binding sites (TFBSs) is a key problem in contemporary biology, which is a critical issue in gene regulation. Identifying a pattern of TFBSs in every DNA sequence, motif discovery reveals the basic regulatory relationship and compassionate the evolutionary system of every species. In this case, recognizing the high-quality (ℓ, d) motif is a great challenge. This problem is addressed in motif discovery and motif finding, using the proposed algorithms, such as Segmentation to Filtration (S2F) and Firefly with FREEZE (FFF), respectively. In this study, the whole DNA sequences are divided into two segments. Segment 1 involves motif discovery and is sliced by base and sub k-mers applying an iterative approach, followed by filtration 1 and 2 techniques, respectively. This approach obtains the top five percent of the best motifs (TOPbk_mer) based on accuracy. In …"
"Biosensor for biothreat detection and defense application","Abdul Hameed Ahamed Fazil, U Srinivasulu Reddy, Manju Bhargavi Gumpu","2024/1/1","N/A","N/A","N/A","267-291","Elsevier","Outbreak of biological threats and its severity is creating an alarming need for the development of rapid diagnostic tools. Early detection of biothreats is key for prevention, protection, and mitigation of pathogens. Hence, demand for biosensors to detect biothreats is increasing tremendously, paving way for detection strategies and portable and point-of-use device development. This chapter classifies different biothreats based on their toxicity levels and analytical techniques used for their detection. Further, construction of various biosensors and detection mechanisms involved in bacterial, viral, and biological toxins have been discussed. Importance of utilizing the nanomaterials such as graphene oxide, gold nanoparticles, and multiwalled carbon nanotubes in enhancing the electroactive area is highlighted. During the biosensor development and sensing complex molecules, a large amount of data is generated with …"
"An improved cost-sensitive approach toward the selection of wart treatment methods","Abinash Mishra, U Srinivasulu Reddy, A Venkataswamy Reddy","2023/11/14","Network Modeling Analysis in Health Informatics and Bioinformatics","12","1","39","Springer Vienna","Warts are benign tumors, caused due to the infection of human papillomavirus (HPV). The identification of wart-specific treatment methods is pertaining to major challenges such as class imbalance, prediction accuracy, and biased nature of learning algorithm. In this article, a bagged ensemble of cost-sensitive extra tree classifier (BECSETC) is developed toward the selection of wart-specific treatment methods. BECSETC outperforms the state-of-the-art techniques (SOTA) by a margin of (0–45, 031.60), (0–12, 02.6) in terms of sensitivity and specificity which overcome the imbalanced distribution on both immunotherapy and cryotherapy datasets. However, on merged dataset, BECSETC algorithm gave an improvement of 6.0410.57%, and 4.63% in terms of sensitivity and specificity, as compared to SOTA techniques."
"Group normalization-based 2D-convolutional neural network for intelligent bearing fault diagnosis","D Gilbert Chandra, U Srinivasulu Reddy, G Uma, M Umapathy","2023/11","Journal of the Brazilian Society of Mechanical Sciences and Engineering","45","11","584","Springer Berlin Heidelberg","Rolling element bearings (REBs) in rotating machinery are vulnerable to failures, leading to huge losses in production, and are a concern for human safety also. Bearing fault diagnosis (BFD) is to detect, isolate and identify the faults before the failure happens. The traditional methods of fault classification involve the identification of the discriminating fault features using signal processing techniques, by system experts with specific domain knowledge, and are person dependent, laborious, time-consuming, and prone to errors. It is essential to detect REB faults early when the fault is small and needs to be done without human intervention. Deep learning (DL) models like convolutional neural networks (CNN) can detect and classify the REB faults, using the vibration data during the rotary machine operations. The objective of the proposed work is to design an intelligent BFD system based on the deep learning …"
"A customized cost penalized boosting approach for the selection of wart treatment methods","Abinash Mishra, Srinivasulu Reddy U","2023/9/19","Multimedia Tools and Applications","N/A","N/A","1-27","Springer US","Warts are benign tumors infected by the Human Papillomavirus. Physicians and medical practitioners are endeavoring to identify the best wart treatment method. The present study finds the response of well-known wart treatment methods, namely immunotherapy and cryotherapy, towards the removal of predominant wart types such as plantar and common warts. The present study utilized the optimal feature space generated by the measure of Fisher score, information gain, and univariate statistical test. In addition, the proposed method finds the customized cost in terms of class weighted and non-class weighted to reduce the miss-classified instances for the positive class sample. The class-weighted and non-class-weighted approaches explicitly incorporated with the well-known classification algorithm extreme gradient boosting approach, which provides a maximum measure of true positive rate, true negative rate …"
"Detection of fall armyworm (spodoptera frugiperda) in field crops based on mask R-CNN","Thenmozhi Kasinathan, Srinivasulu Reddy Uyyala","2023/9","Signal, Image and Video Processing","17","6","2689-2695","Springer London","Nowadays, people are more concerned about the requirement of good quality food and healthier food. Hence, the food manufacturing and processing industries showed their interest in Artificial Intelligence (AI) and Machine Learning (ML) technologies for improving the food quality in major crops and plants. AI and ML are applied in agriculture sectors to protect the field crops from pest attacks. The Fall Armyworm (FAW) is one of the most devastating insects that cause a severe infestation in important field crops to reduce the crop yield. The manual inspection of FAW insects is critical when dealing with similar insects such as corn borer, armyworm, and corn earworm. In this work, FAW insect detection system based on Mask Region Convolutional Neural Network (Mask R-CNN) was proposed to detect the FAW insects and ensure crop quality and safety. The FAW insect dataset is pre-processed, augmented, and …"
"An improved customized CNN model for adaptive recognition of cerebral palsy people’s handwritten digits in assessment","Muthureka, K., Srinivasulu Reddy, U. & Janet","2023/8/9","International Journal of Multimedia Information Retrieval","12","N/A","N/A","N/A","Cerebral palsy (CP) is used to describe a group of disorders, characterized by non-progressive, but permanent damage to the developing brain that results in motor deficits, functional difficulties, sensory impairments, and cognitive impairments. AI is rapidly developing with special importance to education and healthcare. Interdisciplinary research perspectives and applications have come up as a helping hand to meet out the needs in different paradigm of Assessment and Biomedicine. At this juncture, building assessment tools for people with motor coordinate impairment is a valuable yet novel research challenge. So, authors implement a handwritten digit recognition system using optical character recognition (OCR) on dataset of CP people’s handwritten digits and based on study the problem statement is defined to detect variation in jerking hands on written to optical digits by proposing a custom convolutional …"
"Critical measurement parameters estimation in liquid rocket engine using LSTM-based soft sensor","M Devakumar, G Uma, M Umapathy","2023/8/1","Flow Measurement and Instrumentation","92","N/A","102371","Elsevier","Abstract Liquid Rocket engines (LREs) need to be hot tested on the ground, in order to make them flight-worthy. Ground hot tests are critical, expensive, and involve considerable human efforts in acquiring the critical measurement parameters. Measurement sensors are prone to failure due to the hazardous propellant environment and are vulnerable to noise (internal and external) during the LRE ground hot tests. The usage of redundant sensors is not a viable solution for space applications due to cost, power, weight, and space constraints. Data-driven Soft Sensors (SS) are being used in different industrial processes. SS can provide an effective alternative and economical solution for space applications. The objective of the proposed work is to implement a suitable data-driven soft sensor for estimating three critical measurement parameters namely, turbine speed, chamber pressure (P c), and propellant flow rate of …"
